Invoice #,Invoice Date,Client,Reservation #,Line Item Description,Category,Quantity (hrs/units),Rate ($),Amount ($),Status
INV200049,2021-04-20,Ryan O'Brien,R100650,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.0,175,350.0,Paid
INV200049,2021-04-20,Ryan O'Brien,R100650,Instructor time - Sarah Phillips,Instructor,2.5,75,187.5,Paid
INV200050,2021-04-24,Ryan O'Brien,R100652,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.2,185,407.0,Paid
INV200050,2021-04-24,Ryan O'Brien,R100652,Instructor time - Sarah Phillips,Instructor,2.5,75,187.5,Paid
INV200051,2021-05-06,Ryan O'Brien,R100632,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.5,175,262.5,Paid
INV200051,2021-05-06,Ryan O'Brien,R100632,Instructor time - Sarah Phillips,Instructor,1.8,75,135.0,Paid
INV200052,2021-05-06,Olivia Nguyen,R100806,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.2,185,407.0,Paid
INV200052,2021-05-06,Olivia Nguyen,R100806,Instructor time - Doug Hayes,Instructor,2.2,75,165.0,Paid
INV200053,2021-05-05,Olivia Nguyen,R100798,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.7,185,314.5,Paid
INV200053,2021-05-05,Olivia Nguyen,R100798,Instructor time - Doug Hayes,Instructor,2.2,75,165.0,Paid
INV200054,2021-05-13,Emma Thompson,R100565,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.2,185,407.0,Paid
INV200054,2021-05-13,Emma Thompson,R100565,Instructor time - Tom Reyes,Instructor,2.2,75,165.0,Paid
INV200055,2021-05-11,Emma Thompson,R100550,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.0,185,370.0,Paid
INV200056,2021-05-21,Emma Thompson,R100559,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.9,185,351.5,Paid
INV200057,2021-05-21,Ryan O'Brien,R100661,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.7,190,323.0,Paid
INV200058,2021-05-27,Emma Thompson,R100554,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.6,175,280.0,Paid
INV200058,2021-05-27,Emma Thompson,R100554,Instructor time - Tom Reyes,Instructor,2.1,75,157.5,Paid
INV200059,2021-05-31,Olivia Nguyen,R100784,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200059,2021-05-31,Olivia Nguyen,R100784,Instructor time - Doug Hayes,Instructor,1.7,75,127.5,Paid
INV200059,2021-05-31,Olivia Nguyen,R100784,Ground instruction / briefing,Ground,1.0,65,65.0,Paid
INV200060,2021-06-06,Olivia Nguyen,R100789,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.5,185,277.5,Paid
INV200060,2021-06-06,Olivia Nguyen,R100789,Instructor time - Doug Hayes,Instructor,2.0,75,150.0,Paid
INV200061,2021-06-09,Emma Thompson,R100547,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.4,185,444.0,Paid
INV200061,2021-06-09,Emma Thompson,R100547,Instructor time - Doug Hayes,Instructor,2.7,75,202.5,Paid
INV200061,2021-06-09,Emma Thompson,R100547,Ground instruction / briefing,Ground,1.0,65,65.0,Paid
INV200062,2021-06-12,Ava Singh,R101243,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.0,175,350.0,Paid
INV200062,2021-06-12,Ava Singh,R101243,Instructor time - Tom Reyes,Instructor,2.3,75,172.5,Paid
INV200062,2021-06-12,Ava Singh,R101243,Ground instruction / briefing,Ground,0.6,65,39.0,Paid
INV200063,2021-06-15,Olivia Nguyen,R100807,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.3,185,240.5,Paid
INV200063,2021-06-15,Olivia Nguyen,R100807,Instructor time - Doug Hayes,Instructor,1.8,75,135.0,Paid
INV200064,2021-06-23,Ava Singh,R101242,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.8,185,333.0,Paid
INV200064,2021-06-23,Ava Singh,R101242,Instructor time - Jenny Park,Instructor,1.8,75,135.0,Paid
INV200065,2021-06-27,Ava Singh,R101247,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.6,185,296.0,Paid
INV200065,2021-06-27,Ava Singh,R101247,Instructor time - Tom Reyes,Instructor,1.6,75,120.0,Paid
INV200066,2021-07-01,Emma Thompson,R100573,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.6,185,296.0,Paid
INV200066,2021-07-01,Emma Thompson,R100573,Instructor time - Tom Reyes,Instructor,1.6,75,120.0,Paid
INV200067,2021-07-01,Ava Singh,R101255,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.8,190,342.0,Paid
INV200067,2021-07-01,Ava Singh,R101255,Instructor time - Tom Reyes,Instructor,1.8,75,135.0,Paid
INV200068,2021-07-02,Ava Singh,R101237,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.2,175,210.0,Paid
INV200068,2021-07-02,Ava Singh,R101237,Instructor time - Tom Reyes,Instructor,1.7,75,127.5,Paid
INV200069,2021-07-05,Ryan O'Brien,R100693,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.0,185,370.0,Paid
INV200069,2021-07-05,Ryan O'Brien,R100693,Instructor time - Sarah Phillips,Instructor,2.0,75,150.0,Paid
INV200070,2021-07-04,Ryan O'Brien,R100690,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.0,185,370.0,Outstanding
INV200070,2021-07-04,Ryan O'Brien,R100690,Instructor time - Sarah Phillips,Instructor,2.0,75,150.0,Outstanding
INV200070,2021-07-04,Ryan O'Brien,R100690,Ground instruction / briefing,Ground,0.6,65,39.0,Outstanding
INV200071,2021-07-06,Ava Singh,R101222,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.6,185,296.0,Paid
INV200071,2021-07-06,Ava Singh,R101222,Instructor time - Tom Reyes,Instructor,2.1,75,157.5,Paid
INV200072,2021-07-09,Emma Thompson,R100568,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.8,175,315.0,Paid
INV200073,2021-07-12,Olivia Nguyen,R100803,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.2,175,385.0,Paid
INV200073,2021-07-12,Olivia Nguyen,R100803,Instructor time - Doug Hayes,Instructor,2.5,75,187.5,Paid
INV200074,2021-07-10,Ava Singh,R101229,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.0,185,370.0,Outstanding
INV200074,2021-07-10,Ava Singh,R101229,Instructor time - Tom Reyes,Instructor,2.0,75,150.0,Outstanding
INV200074,2021-07-10,Ava Singh,R101229,Ground instruction / briefing,Ground,1.4,65,91.0,Outstanding
INV200075,2021-07-13,Ryan O'Brien,R100681,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.2,185,222.0,Paid
INV200075,2021-07-13,Ryan O'Brien,R100681,Instructor time - Sarah Phillips,Instructor,1.2,75,90.0,Paid
INV200076,2021-07-14,Olivia Nguyen,R100787,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.2,185,407.0,Paid
INV200076,2021-07-14,Olivia Nguyen,R100787,Instructor time - Doug Hayes,Instructor,2.5,75,187.5,Paid
INV200077,2021-07-20,Emma Thompson,R100577,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.9,185,351.5,Paid
INV200077,2021-07-20,Emma Thompson,R100577,Instructor time - Jenny Park,Instructor,2.4,75,180.0,Paid
INV200078,2021-07-19,Ava Singh,R101248,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.1,175,367.5,Paid
INV200078,2021-07-19,Ava Singh,R101248,Instructor time - Tom Reyes,Instructor,2.1,75,157.5,Paid
INV200079,2021-07-25,Ava Singh,R101220,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.7,175,297.5,Paid
INV200079,2021-07-25,Ava Singh,R101220,Instructor time - Tom Reyes,Instructor,2.0,75,150.0,Paid
INV200080,2021-07-28,Olivia Nguyen,R100788,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.1,190,399.0,Paid
INV200080,2021-07-28,Olivia Nguyen,R100788,Instructor time - Doug Hayes,Instructor,2.4,75,180.0,Paid
INV200081,2021-07-31,Ryan O'Brien,R100668,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.0,175,350.0,Paid
INV200081,2021-07-31,Ryan O'Brien,R100668,Instructor time - Sarah Phillips,Instructor,2.5,75,187.5,Paid
INV200081,2021-07-31,Ryan O'Brien,R100668,Ground instruction / briefing,Ground,0.6,65,39.0,Paid
INV200082,2021-07-29,Ryan O'Brien,R100676,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.2,185,407.0,Paid
INV200082,2021-07-29,Ryan O'Brien,R100676,Instructor time - Sarah Phillips,Instructor,2.2,75,165.0,Paid
INV200083,2021-08-02,Emma Thompson,R100572,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.5,190,285.0,Paid
INV200084,2021-08-05,Ryan O'Brien,R100665,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.5,175,262.5,Paid
INV200084,2021-08-05,Ryan O'Brien,R100665,Instructor time - Sarah Phillips,Instructor,1.5,75,112.5,Paid
INV200085,2021-08-07,Ryan O'Brien,R100663,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.6,185,296.0,Paid
INV200085,2021-08-07,Ryan O'Brien,R100663,Instructor time - Sarah Phillips,Instructor,2.1,75,157.5,Paid
INV200086,2021-08-08,Olivia Nguyen,R100816,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.7,185,314.5,Paid
INV200086,2021-08-08,Olivia Nguyen,R100816,Instructor time - Doug Hayes,Instructor,2.0,75,150.0,Paid
INV200087,2021-08-14,Ryan O'Brien,R100674,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.2,185,222.0,Paid
INV200087,2021-08-14,Ryan O'Brien,R100674,Instructor time - Sarah Phillips,Instructor,1.7,75,127.5,Paid
INV200087,2021-08-14,Ryan O'Brien,R100674,Ground instruction / briefing,Ground,1.3,65,84.5,Paid
INV200088,2021-08-28,Emma Thompson,R100562,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.3,190,247.0,Paid
INV200088,2021-08-28,Emma Thompson,R100562,Instructor time - Sarah Phillips,Instructor,1.8,75,135.0,Paid
INV200089,2021-08-30,Emma Thompson,R100563,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.7,185,314.5,Outstanding
INV200090,2021-08-31,Olivia Nguyen,R100796,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.3,175,402.5,Paid
INV200090,2021-08-31,Olivia Nguyen,R100796,Instructor time - Jenny Park,Instructor,2.3,75,172.5,Paid
INV200091,2021-09-06,Ava Singh,R101253,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.9,185,351.5,Paid
INV200091,2021-09-06,Ava Singh,R101253,Instructor time - Doug Hayes,Instructor,2.4,75,180.0,Paid
INV200092,2021-09-09,Olivia Nguyen,R100797,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.4,175,245.0,Paid
INV200092,2021-09-09,Olivia Nguyen,R100797,Instructor time - Doug Hayes,Instructor,1.4,75,105.0,Paid
INV200092,2021-09-09,Olivia Nguyen,R100797,Ground instruction / briefing,Ground,1.4,65,91.0,Paid
INV200093,2021-09-11,Ryan O'Brien,R100672,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.3,175,227.5,Paid
INV200093,2021-09-11,Ryan O'Brien,R100672,Instructor time - Sarah Phillips,Instructor,1.3,75,97.5,Paid
INV200094,2021-09-13,Ava Singh,R101251,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.7,190,323.0,Paid
INV200094,2021-09-13,Ava Singh,R101251,Instructor time - Tom Reyes,Instructor,1.7,75,127.5,Paid
INV200094,2021-09-13,Ava Singh,R101251,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200095,2021-09-14,Jamie Chen,R100140,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.3,175,227.5,Paid
INV200095,2021-09-14,Jamie Chen,R100140,Instructor time - Mike Anderson,Instructor,1.3,75,97.5,Paid
INV200096,2021-09-24,Emma Thompson,R100548,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.3,185,425.5,Paid
INV200096,2021-09-24,Emma Thompson,R100548,Instructor time - Tom Reyes,Instructor,2.8,75,210.0,Paid
INV200097,2021-09-25,Ryan O'Brien,R100691,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.8,175,315.0,Paid
INV200097,2021-09-25,Ryan O'Brien,R100691,Instructor time - Sarah Phillips,Instructor,2.3,75,172.5,Paid
INV200097,2021-09-25,Ryan O'Brien,R100691,Ground instruction / briefing,Ground,0.7,65,45.5,Paid
INV200098,2021-09-26,Emma Thompson,R100556,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.0,175,350.0,Paid
INV200098,2021-09-26,Emma Thompson,R100556,Instructor time - Sarah Phillips,Instructor,2.5,75,187.5,Paid
INV200099,2021-09-28,Jamie Chen,R100129,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.4,190,266.0,Paid
INV200099,2021-09-28,Jamie Chen,R100129,Instructor time - Mike Anderson,Instructor,1.9,75,142.5,Paid
INV200100,2021-10-02,Ryan O'Brien,R100682,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.3,190,437.0,Paid
INV200100,2021-10-02,Ryan O'Brien,R100682,Instructor time - Sarah Phillips,Instructor,2.6,75,195.0,Paid
INV200101,2021-10-01,Ryan O'Brien,R100688,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.9,185,351.5,Paid
INV200101,2021-10-01,Ryan O'Brien,R100688,Instructor time - Sarah Phillips,Instructor,1.9,75,142.5,Paid
INV200102,2021-10-02,Jamie Chen,R100137,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.4,190,266.0,Paid
INV200102,2021-10-02,Jamie Chen,R100137,Instructor time - Jenny Park,Instructor,1.7,75,127.5,Paid
INV200103,2021-10-05,Ryan O'Brien,R100666,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.1,175,367.5,Paid
INV200103,2021-10-05,Ryan O'Brien,R100666,Instructor time - Sarah Phillips,Instructor,2.6,75,195.0,Paid
INV200104,2021-10-05,Ava Singh,R101240,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.5,190,285.0,Paid
INV200104,2021-10-05,Ava Singh,R101240,Instructor time - Mike Anderson,Instructor,2.0,75,150.0,Paid
INV200105,2021-10-13,Emma Thompson,R100576,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.0,175,350.0,Paid
INV200105,2021-10-13,Emma Thompson,R100576,Instructor time - Tom Reyes,Instructor,2.5,75,187.5,Paid
INV200106,2021-10-16,Ava Singh,R101254,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.3,185,425.5,Paid
INV200106,2021-10-16,Ava Singh,R101254,Instructor time - Tom Reyes,Instructor,2.8,75,210.0,Paid
INV200107,2021-10-17,Jamie Chen,R100143,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.8,185,333.0,Paid
INV200107,2021-10-17,Jamie Chen,R100143,Instructor time - Mike Anderson,Instructor,2.1,75,157.5,Paid
INV200108,2021-10-21,Jamie Chen,R100151,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.5,175,262.5,Paid
INV200108,2021-10-21,Jamie Chen,R100151,Instructor time - Mike Anderson,Instructor,1.5,75,112.5,Paid
INV200109,2021-10-23,Olivia Nguyen,R100805,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.2,175,385.0,Paid
INV200110,2021-10-25,Ryan O'Brien,R100669,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.7,190,323.0,Paid
