Reservation #,Flight #,Date,Length (hrs),Reservation Type,Status,Client,Aircraft Tail,Aircraft Make,Aircraft Model,Instructor,Rating Hint (synthetic answer key)
R100643,F050625,2021-02-04,1.2,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Sarah Phillips,PPL
R100660,F050641,2021-02-10,1.5,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,PPL
R100574,F050559,2021-02-14,1.8,Dual Flight Training,Completed,Emma Thompson,N4521P,Cessna,172N,Doug Hayes,PPL
R100626,F050610,2021-02-14,1.8,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,PPL
R100647,F050629,2021-02-14,1.5,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,PPL
R100659,,2021-02-22,0,Student Solo,Canceled,Ryan O'Brien,N7732K,Cessna,172S,,PPL
R100558,,2021-03-03,0,Dual Flight Training,Canceled,Emma Thompson,N7732K,Cessna,172S,Tom Reyes,PPL
R100555,F050542,2021-03-07,1.8,Dual Flight Training,Completed,Emma Thompson,N4521P,Cessna,172N,Jenny Park,PPL
R100551,F050538,2021-03-11,2.3,Dual Flight Training,Completed,Emma Thompson,N6603L,Cessna,172S,Tom Reyes,PPL
R100552,F050539,2021-03-12,1.7,Student Solo,Completed,Emma Thompson,N7732K,Cessna,172S,,PPL
R100583,F050568,2021-03-15,1.4,Dual Flight Training,Completed,Emma Thompson,N7732K,Cessna,172S,Tom Reyes,PPL
R100564,F050550,2021-03-19,1.3,Student Solo,Completed,Emma Thompson,N6603L,Cessna,172S,,PPL
R100636,F050619,2021-03-19,2.3,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,PPL
R100638,,2021-03-29,0,Dual Flight Training,Canceled,Ryan O'Brien,N4521P,Cessna,172N,Jenny Park,PPL
R100566,F050552,2021-03-31,1.5,Student Solo,Completed,Emma Thompson,N7732K,Cessna,172S,,PPL
R100575,F050560,2021-03-31,2.3,Student Solo,Completed,Emma Thompson,N7732K,Cessna,172S,,PPL
R100646,F050628,2021-04-08,1.4,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,PPL
R100570,F050556,2021-04-14,2.1,Dual Flight Training,Completed,Emma Thompson,N8814M,Piper,PA-28-181,Tom Reyes,PPL
R100650,F050632,2021-04-19,2.0,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,PPL
R100652,F050634,2021-04-21,2.2,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,PPL
R100632,F050616,2021-05-03,1.5,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,PPL
R100806,F050781,2021-05-03,2.2,Dual Flight Training,Completed,Olivia Nguyen,N7732K,Cessna,172S,Doug Hayes,PPL
R100798,F050773,2021-05-04,1.7,Dual Flight Training,Completed,Olivia Nguyen,N7732K,Cessna,172S,Doug Hayes,PPL
R100565,F050551,2021-05-10,2.2,Dual Flight Training,Completed,Emma Thompson,N6603L,Cessna,172S,Tom Reyes,PPL
R100550,F050537,2021-05-11,2.0,Student Solo,Completed,Emma Thompson,N7732K,Cessna,172S,,PPL
R100559,F050545,2021-05-20,1.9,Student Solo,Completed,Emma Thompson,N7732K,Cessna,172S,,PPL
R100661,F050642,2021-05-20,1.7,Check Ride,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,,PPL
R101558,,2021-05-23,1.3,Maintenance,Completed,,N9923R,Cessna,182RG,,
R100554,F050541,2021-05-27,1.6,Dual Flight Training,Completed,Emma Thompson,N4521P,Cessna,172N,Tom Reyes,PPL
R100784,F050759,2021-05-29,1.4,Dual Flight Training,Completed,Olivia Nguyen,N7732K,Cessna,172S,Doug Hayes,PPL
R100789,F050764,2021-06-05,1.5,Dual Flight Training,Completed,Olivia Nguyen,N6603L,Cessna,172S,Doug Hayes,PPL
R100547,F050534,2021-06-09,2.4,Dual Flight Training,Completed,Emma Thompson,N7732K,Cessna,172S,Doug Hayes,PPL
R101243,F051208,2021-06-11,2.0,Dual Flight Training,Completed,Ava Singh,N4521P,Cessna,172N,Tom Reyes,PPL
R100807,F050782,2021-06-15,1.3,Dual Flight Training,Completed,Olivia Nguyen,N7732K,Cessna,172S,Doug Hayes,PPL
R101242,F051207,2021-06-20,1.8,Dual Flight Training,Completed,Ava Singh,N6603L,Cessna,172S,Jenny Park,PPL
R101247,F051212,2021-06-25,1.6,Dual Flight Training,Completed,Ava Singh,N6603L,Cessna,172S,Tom Reyes,PPL
R101554,,2021-06-28,1.1,Maintenance,Completed,,N1175C,Piper,PA-28R-201,,
R100573,F050558,2021-06-29,1.6,Dual Flight Training,Completed,Emma Thompson,N7732K,Cessna,172S,Tom Reyes,PPL
R101255,F051220,2021-07-01,1.8,Dual Flight Training,Completed,Ava Singh,N8814M,Piper,PA-28-181,Tom Reyes,PPL
R101237,F051202,2021-07-02,1.2,Dual Flight Training,Completed,Ava Singh,N4521P,Cessna,172N,Tom Reyes,PPL
R100693,F050672,2021-07-03,2.0,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,IFR
R100690,F050669,2021-07-04,2.0,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,IFR
R101222,F051188,2021-07-04,1.6,Dual Flight Training,Completed,Ava Singh,N7732K,Cessna,172S,Tom Reyes,PPL
R100568,F050554,2021-07-09,1.8,Student Solo,Completed,Emma Thompson,N4521P,Cessna,172N,,PPL
R100803,F050778,2021-07-10,2.2,Dual Flight Training,Completed,Olivia Nguyen,N4521P,Cessna,172N,Doug Hayes,PPL
R101229,F051195,2021-07-10,2.0,Dual Flight Training,Completed,Ava Singh,N6603L,Cessna,172S,Tom Reyes,PPL
R100681,F050660,2021-07-12,1.2,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,IFR
R100787,F050762,2021-07-13,2.2,Dual Flight Training,Completed,Olivia Nguyen,N7732K,Cessna,172S,Doug Hayes,PPL
R100571,,2021-07-17,0,Student Solo,Canceled,Emma Thompson,N6603L,Cessna,172S,,PPL
R100577,F050562,2021-07-18,1.9,Dual Flight Training,Completed,Emma Thompson,N7732K,Cessna,172S,Jenny Park,PPL
R101248,F051213,2021-07-18,2.1,Dual Flight Training,Completed,Ava Singh,N4521P,Cessna,172N,Tom Reyes,PPL
R100782,,2021-07-22,0,Dual Flight Training,Canceled,Olivia Nguyen,N6603L,Cessna,172S,Doug Hayes,PPL
R101220,F051186,2021-07-24,1.7,Dual Flight Training,Completed,Ava Singh,N4521P,Cessna,172N,Tom Reyes,PPL
R100788,F050763,2021-07-25,2.1,Dual Flight Training,Completed,Olivia Nguyen,N8814M,Piper,PA-28-181,Doug Hayes,PPL
R100668,F050648,2021-07-28,2.0,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R100676,F050655,2021-07-29,2.2,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Sarah Phillips,IFR
R100572,F050557,2021-08-02,1.5,Student Solo,Completed,Emma Thompson,N8814M,Piper,PA-28-181,,PPL
R100665,F050645,2021-08-03,1.5,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R100663,F050644,2021-08-04,1.6,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Sarah Phillips,IFR
R100816,F050791,2021-08-08,1.7,Dual Flight Training,Completed,Olivia Nguyen,N6603L,Cessna,172S,Doug Hayes,PPL
R100674,F050654,2021-08-11,1.2,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Sarah Phillips,IFR
R100562,F050548,2021-08-27,1.3,Dual Flight Training,Completed,Emma Thompson,N8814M,Piper,PA-28-181,Sarah Phillips,PPL
R100563,F050549,2021-08-27,1.7,Student Solo,Completed,Emma Thompson,N7732K,Cessna,172S,,PPL
R100796,F050771,2021-08-28,2.3,Dual Flight Training,Completed,Olivia Nguyen,N4521P,Cessna,172N,Jenny Park,PPL
R101253,F051218,2021-09-04,1.9,Dual Flight Training,Completed,Ava Singh,N7732K,Cessna,172S,Doug Hayes,PPL
R100797,F050772,2021-09-09,1.4,Dual Flight Training,Completed,Olivia Nguyen,N4521P,Cessna,172N,Doug Hayes,PPL
R100672,F050652,2021-09-11,1.3,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R101251,F051216,2021-09-11,1.7,Dual Flight Training,Completed,Ava Singh,N8814M,Piper,PA-28-181,Tom Reyes,PPL
R100140,F050135,2021-09-14,1.3,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,PPL
R100548,F050535,2021-09-24,2.3,Dual Flight Training,Completed,Emma Thompson,N6603L,Cessna,172S,Tom Reyes,PPL
R100691,F050670,2021-09-25,1.8,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R100556,F050543,2021-09-26,2.0,Dual Flight Training,Completed,Emma Thompson,N4521P,Cessna,172N,Sarah Phillips,PPL
R100129,F050125,2021-09-28,1.4,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Mike Anderson,PPL
R100682,F050661,2021-09-30,2.3,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,IFR
R100688,F050667,2021-09-30,1.9,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,IFR
R101580,F051500,2021-09-30,1.0,Owner Flight,Completed,Patricia O'Donnell,N6603L,Cessna,172S,,
R100137,F050132,2021-10-01,1.4,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Jenny Park,PPL
R100666,F050646,2021-10-02,2.1,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R101240,F051205,2021-10-04,1.5,Dual Flight Training,Completed,Ava Singh,N8814M,Piper,PA-28-181,Mike Anderson,PPL
R100576,F050561,2021-10-13,2.0,Dual Flight Training,Completed,Emma Thompson,N4521P,Cessna,172N,Tom Reyes,PPL
R101254,F051219,2021-10-16,2.3,Dual Flight Training,Completed,Ava Singh,N6603L,Cessna,172S,Tom Reyes,PPL
R100143,F050138,2021-10-17,1.8,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,PPL
R100151,F050146,2021-10-18,1.5,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,PPL
R100805,F050780,2021-10-21,2.2,Student Solo,Completed,Olivia Nguyen,N4521P,Cessna,172N,,PPL
R100669,F050649,2021-10-22,1.7,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,IFR
R100678,F050657,2021-10-25,2.4,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,IFR
R100675,,2021-11-01,0,Dual Flight Training,Canceled,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R100692,F050671,2021-11-01,1.6,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Mike Anderson,IFR
R100799,F050774,2021-11-02,1.3,Dual Flight Training,Completed,Olivia Nguyen,N6603L,Cessna,172S,Jenny Park,PPL
R100126,F050122,2021-11-04,2.0,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,PPL
R100553,F050540,2021-11-04,2.1,Dual Flight Training,Completed,Emma Thompson,N4521P,Cessna,172N,Tom Reyes,PPL
R100677,F050656,2021-11-08,1.3,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R100560,F050546,2021-11-11,1.4,Dual Flight Training,Completed,Emma Thompson,N4521P,Cessna,172N,Tom Reyes,PPL
R100584,F050569,2021-11-14,2.1,Check Ride,Completed,Emma Thompson,N6603L,Cessna,172S,,PPL
R100152,F050147,2021-11-18,1.8,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Mike Anderson,PPL
R101245,F051210,2021-11-20,1.8,Student Solo,Completed,Ava Singh,N8814M,Piper,PA-28-181,,PPL
R100813,F050788,2021-11-21,1.6,Dual Flight Training,Completed,Olivia Nguyen,N6603L,Cessna,172S,Doug Hayes,PPL
R100144,F050139,2021-11-22,1.6,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Sarah Phillips,PPL
R100817,F050792,2021-11-25,1.8,Dual Flight Training,Completed,Olivia Nguyen,N4521P,Cessna,172N,Doug Hayes,PPL
R100133,,2021-11-28,0,Dual Flight Training,Canceled,Jamie Chen,N7732K,Cessna,172S,Mike Anderson,PPL
R101552,,2021-12-03,3.9,Maintenance,Completed,,N9923R,Cessna,182RG,,
R100147,F050142,2021-12-06,1.8,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,PPL
R100810,F050785,2021-12-11,1.2,Student Solo,Completed,Olivia Nguyen,N8814M,Piper,PA-28-181,,PPL
R101239,F051204,2021-12-12,1.3,Dual Flight Training,Completed,Ava Singh,N8814M,Piper,PA-28-181,Tom Reyes,PPL
R101546,,2021-12-12,1.9,Maintenance,Completed,,N4521P,Cessna,172N,,
R100148,F050143,2021-12-14,1.5,Dual Flight Training,Completed,Jamie Chen,N7732K,Cessna,172S,Mike Anderson,PPL
R100132,F050128,2021-12-16,2.0,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Mike Anderson,PPL
R100671,F050651,2021-12-17,1.8,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Mike Anderson,IFR
R101244,F051209,2021-12-17,1.6,Dual Flight Training,Completed,Ava Singh,N4521P,Cessna,172N,Tom Reyes,PPL
R101236,F051201,2021-12-18,1.5,Dual Flight Training,Completed,Ava Singh,N6603L,Cessna,172S,Jenny Park,PPL
R100680,F050659,2021-12-21,1.6,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R101223,F051189,2021-12-24,1.3,Dual Flight Training,Completed,Ava Singh,N6603L,Cessna,172S,Tom Reyes,PPL
R100670,F050650,2021-12-25,2.0,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R100786,F050761,2021-12-28,2.2,Student Solo,Completed,Olivia Nguyen,N7732K,Cessna,172S,,PPL
R100150,F050145,2022-01-01,2.1,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Mike Anderson,PPL
R100593,F050578,2022-01-01,1.3,Dual Flight Training,Completed,Emma Thompson,N6603L,Cessna,172S,Doug Hayes,IFR
R100802,F050777,2022-01-03,1.5,Dual Flight Training,Completed,Olivia Nguyen,N8814M,Piper,PA-28-181,Doug Hayes,PPL
R100425,F050414,2022-01-05,2.0,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,PPL
R101234,F051199,2022-01-07,1.4,Dual Flight Training,Completed,Ava Singh,N6603L,Cessna,172S,Tom Reyes,PPL
R100410,F050399,2022-01-09,1.5,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,PPL
R100429,F050418,2022-01-09,2.4,Dual Flight Training,Completed,Priya Patel,N7732K,Cessna,172S,Sarah Phillips,PPL
R101246,F051211,2022-01-10,1.4,Dual Flight Training,Completed,Ava Singh,N4521P,Cessna,172N,Tom Reyes,PPL
R100667,F050647,2022-01-14,1.8,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R100141,F050136,2022-01-16,1.9,Dual Flight Training,Completed,Jamie Chen,N7732K,Cessna,172S,Mike Anderson,PPL
R100673,F050653,2022-01-16,1.5,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,IFR
R100811,F050786,2022-01-17,1.8,Dual Flight Training,Completed,Olivia Nguyen,N7732K,Cessna,172S,Doug Hayes,PPL
R101232,,2022-01-17,0,Dual Flight Training,Canceled,Ava Singh,N6603L,Cessna,172S,Tom Reyes,PPL
R100125,F050121,2022-01-19,1.3,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,PPL
R100142,F050137,2022-01-21,1.4,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,PPL
R100685,F050664,2022-01-21,1.4,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,IFR
R100687,F050666,2022-01-22,1.9,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Sarah Phillips,IFR
R100790,F050765,2022-01-23,2.2,Dual Flight Training,Completed,Olivia Nguyen,N6603L,Cessna,172S,Doug Hayes,PPL
R100127,F050123,2022-01-24,1.8,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Jenny Park,PPL
R100602,F050587,2022-01-25,1.3,Dual Flight Training,Completed,Emma Thompson,N6603L,Cessna,172S,Tom Reyes,IFR
R100679,F050658,2022-01-25,1.4,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R100683,F050662,2022-01-25,1.6,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Jenny Park,IFR
R100794,F050769,2022-01-27,1.7,Dual Flight Training,Completed,Olivia Nguyen,N6603L,Cessna,172S,Doug Hayes,PPL
R100684,F050663,2022-01-30,1.7,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Sarah Phillips,IFR
R100417,F050406,2022-01-31,1.9,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,PPL
R100416,F050405,2022-02-04,2.0,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,PPL
R100403,F050392,2022-02-07,1.4,Dual Flight Training,Completed,Priya Patel,N7732K,Cessna,172S,Jenny Park,PPL
R100801,F050776,2022-02-07,2.1,Student Solo,Completed,Olivia Nguyen,N6603L,Cessna,172S,,PPL
R100401,F050390,2022-02-10,2.3,Dual Flight Training,Completed,Priya Patel,N8814M,Piper,PA-28-181,Sarah Phillips,PPL
R101226,F051192,2022-02-10,1.5,Student Solo,Completed,Ava Singh,N7732K,Cessna,172S,,PPL
R100815,F050790,2022-02-11,2.3,Dual Flight Training,Completed,Olivia Nguyen,N8814M,Piper,PA-28-181,Doug Hayes,PPL
R100604,F050589,2022-02-13,2.0,Dual Flight Training,Completed,Emma Thompson,N4521P,Cessna,172N,Tom Reyes,IFR
R100689,F050668,2022-02-13,1.7,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R100785,F050760,2022-02-13,2.0,Dual Flight Training,Completed,Olivia Nguyen,N8814M,Piper,PA-28-181,Doug Hayes,PPL
R100586,F050571,2022-02-14,1.7,Dual Flight Training,Completed,Emma Thompson,N8814M,Piper,PA-28-181,Tom Reyes,IFR
R100800,F050775,2022-02-14,1.6,Dual Flight Training,Completed,Olivia Nguyen,N8814M,Piper,PA-28-181,Doug Hayes,PPL
R101543,,2022-02-15,3.8,Maintenance,Completed,,N6603L,Cessna,172S,,
R100424,F050413,2022-02-17,1.7,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,PPL
R100607,F050592,2022-02-17,1.7,Dual Flight Training,Completed,Emma Thompson,N8814M,Piper,PA-28-181,Tom Reyes,IFR
R101225,F051191,2022-02-17,1.5,Student Solo,Completed,Ava Singh,N6603L,Cessna,172S,,PPL
R100157,F050152,2022-02-18,1.9,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,PPL
R100601,F050586,2022-02-18,1.7,Dual Flight Training,Completed,Emma Thompson,N8814M,Piper,PA-28-181,Tom Reyes,IFR
R100783,,2022-02-18,0,Dual Flight Training,Canceled,Olivia Nguyen,N7732K,Cessna,172S,Doug Hayes,PPL
R100408,F050397,2022-02-20,2.2,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,PPL
R100686,F050665,2022-02-27,2.2,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,IFR
R101571,F051491,2022-02-27,2.6,Owner Flight,Completed,Robert Klein,N4521P,Cessna,172N,,
R100662,F050643,2022-02-28,1.5,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,IFR
R100664,,2022-02-28,0,Dual Flight Training,Canceled,Ryan O'Brien,N6603L,Cessna,172S,Sarah Phillips,IFR
R100405,F050394,2022-03-02,2.1,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,PPL
R100590,F050575,2022-03-02,1.6,Dual Flight Training,Completed,Emma Thompson,N8814M,Piper,PA-28-181,Mike Anderson,IFR
R100003,F050003,2022-03-04,2.1,Dual Flight Training,Completed,Alex Martinez,N7732K,Cessna,172S,Jenny Park,PPL
R100592,F050577,2022-03-05,2.0,Dual Flight Training,Completed,Emma Thompson,N8814M,Piper,PA-28-181,Tom Reyes,IFR
R100792,F050767,2022-03-05,1.8,Dual Flight Training,Completed,Olivia Nguyen,N4521P,Cessna,172N,Doug Hayes,PPL
R100694,F050673,2022-03-10,2.4,Check Ride,Completed,Ryan O'Brien,N6603L,Cessna,172S,,IFR
R100791,F050766,2022-03-11,1.9,Dual Flight Training,Completed,Olivia Nguyen,N4521P,Cessna,172N,Doug Hayes,PPL
R100002,F050002,2022-03-14,1.9,Dual Flight Training,Completed,Alex Martinez,N6603L,Cessna,172S,Jenny Park,PPL
R100398,F050387,2022-03-18,1.6,Dual Flight Training,Completed,Priya Patel,N7732K,Cessna,172S,Sarah Phillips,PPL
R101249,F051214,2022-03-18,2.2,Dual Flight Training,Completed,Ava Singh,N6603L,Cessna,172S,Tom Reyes,PPL
